GEOID,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
38035,Grand Forks,3,1,2,1,12,8,7,13,8,7,3,1,5,4,8,6,8
18091,LaPorte,2,1,3,3,6,7,7,13,11,9,8,6,7,11,8,5,6
18057,Hamilton,1,1,3,3,5,7,8,10,13,5,7,5,5,12,8,9,4
29145,Newton,3,2,3,0,15,5,9,16,8,13,9,5,9,14,10,9,9
18129,Posey,3,2,2,0,9,7,14,9,15,12,11,7,6,14,6,12,6
13297,Walton,5,1,5,0,6,6,4,10,9,11,6,4,2,12,2,6,4
51009,Amherst,1,0,3,1,5,2,6,6,10,10,7,13,8,6,1,6,2
6111,Ventura,0,0,0,0,5,3,7,4,1,4,5,1,0,0,2,1,1
6037,Los Angeles,0,0,0,0,2,3,2,1,0,1,1,1,0,0,1,0,0
4027,Yuma,5,6,7,3,29,28,24,16,23,18,18,25,18,19,18,24,26
12055,Highlands,1,0,0,0,0,0,2,0,3,0,3,1,2,3,0,0,0
4021,Pinal,0,1,3,3,20,15,21,8,14,16,6,14,14,10,11,16,12
39051,Fulton,3,1,1,3,7,7,8,8,17,10,6,7,7,14,4,9,10
12017,Citrus,1,0,0,0,1,2,2,5,1,0,3,3,4,2,0,1,0
29043,Christian,3,1,2,1,12,4,7,15,8,10,10,6,9,15,10,9,6
28073,Lamar,0,0,2,0,0,1,3,7,3,3,8,6,3,7,0,4,5
48157,Fort Bend,2,0,2,0,2,1,5,7,4,2,6,1,4,3,2,1,4
55127,Walworth,2,1,1,3,10,4,11,10,15,7,4,6,6,7,4,5,5
36103,Suffolk,0,0,2,2,1,5,4,4,1,0,1,12,6,1,2,1,0
1081,Lee,2,0,2,0,3,3,3,9,4,6,10,5,3,10,0,5,1
48367,Parker,4,1,6,2,9,9,10,25,6,14,14,9,14,13,12,13,22
6097,Sonoma,1,2,4,3,11,8,10,14,10,12,7,11,8,5,6,3,8
16019,Bonneville,0,0,0,2,4,0,1,2,6,11,2,7,5,3,3,3,3
13013,Barrow,1,0,4,0,6,4,2,8,6,9,3,3,1,9,2,5,1
26037,Clinton,1,2,1,3,8,7,9,11,15,6,5,7,8,10,5,10,11
17115,Macon,2,2,1,2,11,8,11,12,16,8,6,6,7,13,8,12,6
27109,Olmsted,2,2,2,1,5,2,7,6,11,11,2,5,2,6,2,6,14
34039,Union,1,0,2,3,4,9,12,7,10,5,3,15,9,9,6,16,4
1097,Mobile,0,0,0,0,0,1,0,6,2,2,3,4,2,9,1,1,1
38015,Burleigh,3,4,3,1,9,9,13,13,11,7,9,5,4,5,7,11,15
37159,Rowan,0,0,2,2,4,0,4,7,7,10,5,7,3,7,2,6,5
41003,Benton,0,3,4,5,24,21,18,20,14,20,10,18,8,11,22,19,32
42099,Perry,1,0,4,2,1,3,7,7,9,6,5,8,7,8,3,8,9
48203,Harrison,4,1,5,0,3,4,5,16,6,7,9,7,8,10,5,10,13
40131,Rogers,2,2,2,2,14,3,11,17,10,16,7,8,10,13,11,5,11
29019,Boone,2,2,1,2,12,6,9,12,14,7,10,8,12,15,11,13,8
8059,Jefferson,1,0,3,1,3,1,7,1,6,5,0,4,3,2,6,2,4
54011,Cabell,3,0,3,1,3,1,3,5,11,8,2,10,1,4,2,7,4
18005,Bartholomew,3,0,4,2,5,9,9,11,16,11,7,9,7,16,5,9,7
13223,Paulding,1,1,4,1,6,5,4,9,7,11,9,5,6,10,5,4,4
25027,Worcester,1,0,2,2,2,3,4,2,3,3,2,8,3,7,1,13,4
6031,Kings,6,5,9,5,28,28,29,23,30,38,22,34,22,26,19,30,21
6073,San Diego,0,0,0,0,5,3,7,4,0,3,3,2,0,0,2,2,1
29037,Cass,3,1,1,1,14,6,15,19,11,6,8,7,7,16,10,10,4
36027,Dutchess,1,0,2,3,2,6,6,4,9,1,2,13,5,3,5,11,3
8101,Pueblo,0,1,1,2,3,1,4,6,4,6,3,7,4,6,6,0,2
37051,Cumberland,0,0,1,2,7,1,4,8,8,4,3,8,9,8,3,7,8
6061,Placer,3,4,5,3,20,13,14,15,16,35,14,18,12,5,14,17,18
37093,Hoke,0,0,1,2,5,1,5,8,7,7,4,7,8,9,2,6,7
45035,Dorchester,0,0,0,0,3,0,2,8,6,0,2,4,6,7,0,2,3
45015,Berkeley,1,0,0,0,3,0,2,7,4,0,1,3,5,7,0,3,2
5051,Garland,4,1,3,1,7,4,7,15,9,9,10,7,8,8,11,10,6
39155,Trumbull,2,0,4,2,4,4,6,11,12,2,4,10,7,13,5,9,7
42019,Butler,1,0,3,2,2,0,2,3,8,3,2,6,6,9,5,4,5
37025,Cabarrus,0,0,2,3,6,1,6,11,10,11,6,8,6,9,4,11,6
49011,Davis,2,5,5,3,10,11,16,13,17,20,9,16,8,4,7,7,5
19013,Black Hawk,1,2,1,3,7,5,11,7,17,9,7,6,3,5,6,11,9
1125,Tuscaloosa,0,1,3,0,2,3,5,3,4,7,9,3,2,7,1,6,1
10003,New Castle,2,0,2,2,7,4,3,7,5,5,2,15,5,3,5,5,3
17161,Rock Island,2,3,1,3,11,5,13,7,13,9,6,7,11,9,11,6,5
51073,Gloucester,1,0,2,2,5,3,3,6,0,2,3,11,7,2,0,3,1
42101,Philadelphia,1,0,3,3,5,5,10,7,8,5,3,12,6,5,4,12,2
36109,Tompkins,0,0,2,2,2,3,8,5,8,2,1,11,9,10,5,11,10
5069,Jefferson,3,1,3,0,5,4,8,14,7,11,7,5,6,9,6,7,8
36001,Albany,0,0,2,2,4,2,5,3,4,2,2,8,3,8,2,12,4
48029,Bexar,3,2,5,3,7,10,16,16,9,14,16,7,21,10,9,4,17
8013,Boulder,0,0,0,0,0,1,3,0,3,5,0,2,1,3,1,3,0
47089,Jefferson,1,0,3,0,0,1,5,9,8,7,2,7,3,6,2,4,2
8031,Denver,2,2,3,2,3,2,7,2,6,8,0,5,3,3,8,3,5
17093,Kendall,2,1,2,3,12,7,15,10,16,10,4,7,10,11,4,6,8
11001,District of Columbia,1,0,2,1,6,4,7,9,9,7,4,11,8,6,5,8,11
27171,Wright,0,4,2,2,9,7,11,11,13,18,3,7,6,5,4,8,17
55059,Kenosha,3,1,2,4,9,6,12,11,14,9,5,7,8,5,4,7,9
6075,San Francisco,2,1,5,3,9,6,15,14,6,11,6,15,10,5,5,5,6
12109,St. Johns,0,0,0,0,3,1,2,3,3,0,3,3,4,4,1,2,1
26139,Ottawa,2,2,2,1,8,9,9,10,16,8,12,5,8,11,6,12,11
17031,Cook,2,0,2,3,7,5,7,10,9,7,4,3,3,5,2,5,6
27027,Clay,2,4,3,1,11,7,13,12,12,10,11,6,6,4,12,9,18
49003,Box Elder,2,2,4,3,11,9,17,9,15,19,6,15,8,1,6,8,8
54051,Marshall,2,0,3,2,3,7,8,8,11,7,4,4,7,5,4,10,6
24005,Baltimore,1,0,2,1,4,4,6,2,5,0,4,8,4,4,2,7,6
39087,Lawrence,2,0,4,1,2,1,4,5,10,9,2,11,1,6,2,7,5
54061,Monongalia,2,0,3,2,2,3,6,3,9,6,1,4,2,6,3,7,3
12027,DeSoto,0,0,0,0,0,1,1,0,1,0,2,1,2,2,0,1,0
9011,New London,1,0,2,3,0,5,4,4,5,2,2,14,5,3,3,10,4
51760,Richmond,2,0,3,3,6,5,8,6,8,7,5,13,8,9,3,15,9
37169,Stokes,0,0,2,1,5,2,7,7,8,11,4,6,5,6,1,9,5
